DateTime,AddedIPs,RemovedIPs
1557013323,1,0
1557014525,22,45
1557015722,51,102
1557016923,50,0
1557018122,10,47
1557019322,9,0
1557019922,2,6
1557020522,5,2
1557021723,5,42
1557022922,25,0
1557024123,62,51
1557024722,12,42
1557025322,22,0
1557025924,5,3
1557026523,4,14
1557027723,18,34
1557028922,16,0
1557029522,6,10
1557030122,5,37
1557031323,41,0
1557031922,43,34
1557032522,20,44
1557033124,4,0
1557033722,14,4
1557034322,44,15
1557034922,19,47
1557036122,23,0
1557037322,8,49
1557038522,14,0
1557039723,34,51
1557040922,46,0
1557041522,14,30
1557042123,11,2
1557043323,10,17
1557044522,48,16
1557045722,41,29
1557046922,12,45
1557048123,39,90
1557049322,28,82
1557050522,11,22
1557051123,6,0
1557051722,10,5
1557052322,2,0
1557052923,0,4
1557054123,29,6
1557055323,8,6
1557056523,25,17
1557057722,14,19
1557058323,10,4
1557058922,13,9
1557060122,23,0
1557061322,31,19
1557062522,26,37
1557063723,18,23
1557064923,27,54
1557066122,2,12
1557067323,6,14
1557068523,45,81
1557069722,57,19
1557070922,21,0
1557072122,50,93
1557073323,30,31
1557074523,17,0
1557075122,8,25
1557075722,4,0
1557076923,60,52
1557078123,28,75
1557079322,10,4
1557080522,6,40
1557081722,17,30
1557082922,22,0
1557083522,38,27
1557084122,26,65
1557085322,54,0
1557086524,40,47
1557087124,2,0
1557087722,2,5
1557088922,0,10
1557090122,1,2
1557091323,63,47
1557092522,25,74
1557093123,62,35
1557093722,35,0
1557094923,12,28
1557096122,5,0
1557097323,1,16
1557098522,2,0
1557099722,10,21
1557100924,5,42
1557101523,46,0
1557102123,30,50
1557103322,22,0
1557103923,16,11
1557104522,11,11
1557105722,19,0
1557106922,7,15
1557107523,1,0
1557108722,4,24
1557109324,17,52
1557110522,66,0
1557111724,56,61
1557112323,26,7
1557112923,11,2
1557113523,20,26
1557114122,9,0
1557115323,7,19
1557115923,11,8
1557116522,13,0
1557117723,28,59
1557118923,38,31
1557120122,13,55
1557121322,79,28
1557122522,42,47
1557123723,31,0
1557124922,23,13
1557126122,44,28
1557127322,38,41
1557127922,8,15
1557128523,4,22
1557129122,6,0
1557129722,17,0
1557130922,12,91
1557132122,15,0
1557133322,16,53
1557134522,61,0
1557135722,44,31
1557136923,9,10
1557138122,14,19
1557139322,11,34
1557140522,10,0
1557141123,4,11
1557141723,13,15
1557142923,6,13
1557144123,14,0
1557145323,17,16
1557145922,7,32
1557146523,14,0
1557147723,8,67
1557148922,29,0
1557149522,3,23
1557150122,24,31
1557151322,23,6
1557151923,10,0
1557152522,10,10
1557153722,14,34
1557154323,4,0
1557154923,34,0
1557156122,46,49
1557157322,15,75
1557157923,21,0
1557158522,7,0
1557159722,10,37
1557160322,7,23
1557160922,5,0
1557162123,8,62
1557162722,42,0
1557163322,14,26
1557164522,8,12
1557165123,3,0
1557165722,6,0
1557166322,8,5
1557166922,3,0
1557168122,37,17
1557169323,24,69
1557169922,2,0
1557170522,41,27
1557171722,30,56
1557172922,21,37
1557174122,16,4
1557175322,13,6
1557176523,16,0
1557177722,31,103
1557178322,41,0
1557178923,37,0
1557180123,41,117
1557181322,4,0
1557182522,0,5
1557183722,9,0
1557184923,22,19
1557185522,7,0
1557186123,7,6
1557186722,19,0
1557187323,17,43
1557187922,3,25
1557188522,19,32
1557189722,10,21
1557190322,10,17
1557190923,9,0
1557192122,5,27
1557192723,9,0
1557193923,10,2
1557194523,56,0
1557195722,48,60
1557196322,23,0
1557196923,14,61
1557198123,14,0
1557198724,5,32
1557199322,12,26
1557200524,14,24
1557201122,5,0
1557201722,5,0
1557202922,41,35
1557204122,53,0
1557204723,11,19
1557205323,18,15
1557206524,56,0
1557207722,21,138
1557208322,10,0
1557208922,14,39
1557209523,10,0
1557210122,17,35
1557211322,25,0
1557212523,16,32
1557213123,3,37
1557213723,4,0
1557214922,15,12
1557216123,69,23
1557216723,31,18
1557217322,16,25
1557218522,28,0
1557219723,56,76
1557220324,10,0
1557220922,16,0
1557222123,8,52
1557222722,10,0
1557223322,9,0
1557224522,19,19
1557225722,8,17
1557226323,1,0
1557226923,2,7
1557228123,20,10
1557229322,9,7
1557229923,0,16
1557231722,6,12
1557232923,34,26
1557233523,3,14
1557234122,0,38
1557234722,6,0
1557235323,2,3
1557236523,29,18
1557237122,2,23
1557237723,3,0
1557238322,2,27
1557240123,14,18
1557241325,57,26
1557241922,24,38
1557242523,18,20
1557243723,35,0
1557244923,41,45
1557245523,7,0
1557246123,28,0
1557247323,20,28
1557247923,11,0
1557248522,8,30
1557249722,65,16
1557250923,30,0
1557252122,16,18
1557253322,5,6
1557254523,50,49
1557255122,14,0
1557255723,34,8
1557256922,34,57
1557258122,58,0
1557259323,45,36
1557260522,23,0
1557261723,5,32
1557262323,15,0
1557262922,8,33
1557264123,60,39
1557265322,16,31
1557265922,15,48
1557266522,18,10
1557267722,16,0
1557268922,10,3
1557269522,4,9
1557270122,6,22
1557271323,2,0
1557272523,1,15
1557273724,46,35
1557274322,16,10
1557274923,44,27
1557276123,19,25
1557277322,4,44
1557278522,8,0
1557279122,3,6
1557279722,1,9
1557280923,5,29
1557282124,37,35
1557283322,49,63
1557283923,19,0
1557284522,28,7
1557285723,15,13
1557286322,17,20
1557286922,16,0
1557287523,6,8
1557288123,4,36
1557288723,2,0
1557289322,18,47
1557290523,50,0
1557291122,20,11
1557291723,2,20
1557292922,5,63
1557294122,24,9
1557295323,12,15
1557296523,15,28
1557297723,11,38
1557298323,31,0
1557298922,12,0
1557300122,6,22
1557301322,4,0
1557302522,7,100
1557303722,65,18
1557304923,7,77
1557305522,18,0
1557306123,7,15
1557307322,47,41
1557308522,16,0
1557309723,6,36
1557310923,11,7
1557311522,9,0
1557312123,6,0
1557313322,11,3
1557314522,12,39
1557315722,17,0
1557316322,4,2
1557316926,3,0
1557317522,18,7
1557318123,3,0
1557319323,23,44
1557319923,33,0
1557320522,6,15
1557321122,25,5
1557321722,19,0
1557322922,18,32
1557323522,20,0
1557324124,23,3
1557325322,15,14
1557326522,13,0
1557327724,10,58
1557328323,3,14
1557328923,4,0
1557330122,14,24
1557331322,62,48
1557332523,32,67
1557333722,13,0
1557334322,4,8
1557334922,7,12
1557336123,31,52
1557336723,9,25
1557337323,9,0
1557339124,13,19
1557339723,5,56
1557340923,59,0
1557342123,28,60
1557343323,28,42
1557344522,26,107
1557345723,18,0
1557346923,23,23
1557347523,12,11
1557348123,1,0
1557349322,10,31
1557350522,36,52
1557351722,49,44
1557352922,63,17
1557355322,25,33
1557355922,1,5
1557356522,1,5
1557357723,2,0
1557358922,3,49
1557360125,51,7
1557361922,45,65
1557362523,4,0
1557363123,4,6
1557363723,1,7
1557364923,7,0
1557366123,1,4
1557366722,9,6
1557367323,0,38
1557368522,47,45
1557369123,7,0
1557369722,43,0
1557370923,22,63
1557371523,33,0
1557372122,31,0
1557373322,22,33
1557374523,7,8
1557375123,5,28
1557376922,44,58
1557378123,54,6
1557379322,37,26
1557380522,15,0
1557381722,31,20
1557382322,10,21
1557382922,6,0
1557384123,11,12
1557385323,64,44
1557385922,24,8
1557386523,4,0
1557387723,3,6
1557388923,25,59
1557389524,8,0
1557390125,11,16
1557391323,16,0
1557392523,30,31
1557393723,56,44
1557394923,24,36
1557396122,13,0
1557396723,1,14
1557397322,3,11
1557397922,4,0
1557398522,1,17
1557399722,7,0
1557400923,4,8
