DateTime,Entries,UniqueIPs
1556470590,5849,6035
1556472497,5856,6042
1556474434,5838,6028
1556476363,5827,6018
1556478255,5812,6003
1556480437,5815,6007
1556482337,5813,6005
1556484257,5816,6007
1556486177,5825,6016
1556488096,5835,6026
1556491934,5819,6010
1556493854,5810,6001
1556497692,5802,5993
1556499633,5795,5988
1556501561,5790,5982
1556503456,5776,5968
1556505391,5765,5957
1556507316,5768,5960
1556509213,5765,5959
1556511139,5769,5963
1556513072,5772,5966
1556514975,5767,5961
1556516911,5762,5956
1556518829,5757,5950
1556520748,5762,5955
1556522650,5749,5942
1556524567,5750,5943
1556526761,5744,5937
1556528680,5740,5933
1556530573,5736,5929
1556532498,5730,5923
1556534436,5724,5917
1556536334,5715,5908
1556538272,5707,5900
1556540178,5720,5913
1556542096,5713,5908
1556544012,5698,5893
1556545935,5700,5895
1556547869,5701,5896
1556549777,5710,5905
1556551709,5708,5903
1556553641,5695,5890
1556555539,5690,5885
1556557479,5687,5881
1556559382,5689,5885
1556561304,5692,5888
1556565139,5676,5872
1556567054,5661,5857
1556568999,5668,5864
1556570915,5673,5869
1556572848,5679,5874
1556574730,5684,5879
1556576682,5691,5886
1556579112,5696,5894
1556580995,5706,5904
1556582924,5721,5919
1556585076,5724,5922
1556586980,5725,5923
1556588893,5721,5920
1556590823,5715,5914
1556592763,5715,5914
1556594670,5722,5921
1556596587,5715,5914
1556598508,5721,5920
1556600430,5719,5918
1556602363,5717,5914
1556604273,5716,5913
1556606176,5708,5905
1556608105,5707,5903
1556610035,5703,5899
1556611943,5713,5909
1556613857,5715,5910
1556616039,5712,5907
1556617958,5718,5913
1556619852,5729,5924
1556621774,5728,5923
1556623690,5720,5915
1556625648,5715,5910
1556629461,5704,5899
1556631375,5688,5884
1556633324,5698,5894
1556635234,5694,5890
1556637158,5683,5879
1556640998,5658,5854
1556644816,5641,5837
1556648659,5622,5818
1556650571,5625,5821
1556652514,5610,5807
1556654465,5612,5808
1556656346,5607,5803
1556658258,5606,5802
1556660194,5594,5790
1556662120,5593,5789
1556664036,5601,5797
1556665933,5596,5792
1556668387,5569,5765
1556670258,5562,5758
1556672440,5576,5772
1556674357,5575,5772
1556676277,5575,5772
1556678191,5568,5765
1556680108,5560,5757
1556682015,5553,5750
1556683939,5555,5752
1556685872,5549,5745
1556687779,5549,5745
1556689698,5560,5756
1556691637,5561,5758
1556693532,5556,5753
1556695457,5545,5742
1556697389,5532,5729
1556699298,5534,5731
1556701232,5531,5727
1556703162,5532,5728
1556705322,5513,5708
1556707212,5512,5708
1556709135,5496,5692
1556711073,5499,5696
1556712976,5495,5691
1556714893,5495,5691
1556716835,5494,5690
1556718748,5489,5686
1556720652,5486,5683
1556722590,5481,5678
1556724491,5479,5676
1556726476,5468,5668
1556728358,5465,5664
1556730256,5450,5649
1556732174,5446,5645
1556734123,5436,5635
1556736029,5429,5628
1556737941,5431,5629
1556741797,5416,5614
1556743695,5423,5621
1556745633,5430,5628
1556747559,5426,5624
