DateTime,AddedIPs,RemovedIPs
1556505144,7,13
1556507105,5,2
1556508969,15,6
1556510911,5,2
1556512819,7,2
1556514756,1,4
1556516656,6,2
1556518587,5,2
1556520497,1,2
1556522464,4,8
1556524374,13,55
1556526256,57,1
1556528179,2,1
1556530111,1,1
1556532993,0,3
1556534805,1,4
1556536836,5,4
1556538731,5,5
1556540663,5,7
1556542594,3,2
1556544502,7,5
1556546455,4,4
1556548351,2,3
1556550282,6,0
1556552172,2,6
1556554101,4,4
1556556032,3,6
1556557933,5,11
1556559865,3,7
1556561794,3,10
1556563694,8,9
1556565619,5,11
1556567553,2,18
1556569454,10,13
1556571378,13,15
1556573296,6,17
1556576174,7,27
1556578664,5,19
1556580505,11,13
1556582571,8,17
1556584572,4,10
1556586542,7,8
1556588464,4,48
1556590342,8,17
1556592283,9,5
1556594214,10,7
1556596103,10,28
1556598015,16,5
1556599952,7,5
1556601892,9,0
1556603778,21,4
1556605738,11,5
1556607739,17,6
1556609546,11,3
1556611529,8,12
1556613389,12,1
1556615584,8,2
1556617562,16,1
1556619391,9,1
1556621312,4,2
1556623262,6,4
1556625168,2,4
1556627056,5,3
1556629014,4,3
1556630935,7,10
1556632916,7,4
1556634822,2,4
1556636691,4,8
1556638585,6,2
1556640518,3,6
1556642471,11,5
1556644338,5,8
1556646266,18,4
1556648201,8,7
1556650098,12,10
1556652013,7,10
1556653935,9,3
1556655911,10,9
1556657773,13,12
1556659693,24,6
1556661759,11,9
1556663567,9,6
1556665500,3,4
1556668072,2,12
1556670013,7,4
1556671961,9,7
1556673860,20,3
1556675802,6,10
1556677726,4,10
1556679786,2,11
1556681809,2,9
1556683712,28,18
1556685640,26,7
1556687542,7,8
1556689484,7,16
1556691386,10,17
1556693304,12,16
1556695227,21,12
1556697133,51,11
1556699060,32,10
1556700990,23,8
1556702892,49,12
1556704919,17,14
1556706762,10,4
1556708693,8,2
1556710583,11,6
1556712513,11,6
1556714431,6,5
1556716349,9,5
1556718256,13,9
1556720192,7,4
1556722104,6,3
1556724047,6,4
1556725951,1,8
1556727870,2,4
1556729793,13,9
1556731693,8,14
1556733731,15,13
1556735556,4,6
1556737478,5,9
1556739382,5,10
1556741319,8,10
1556743165,5,4
1556745145,7,21
1556747071,6,22
1556750442,5,10
1556752336,8,4
1556754299,4,2
1556756186,4,7
1556758373,4,11
1556760263,4,17
1556762209,8,5
1556764103,3,4
1556766142,5,4
1556767965,8,1
1556769911,15,21
1556771798,7,31
1556773726,1,6
1556775618,10,6
1556777804,2,10
1556779703,4,14
1556781649,5,21
1556783562,3,40
1556785494,2,28
1556787401,4,26
1556789345,5,48
1556791356,0,21
1556793398,2,16
1556795293,6,11
1556797239,19,8
1556799146,9,14
1556801060,4,9
1556802979,49,8
1556805171,544,18
1556807057,120,8
1556810191,42,10
1556812101,10,2
1556814010,26,2
1556815947,18,14
1556817871,16,7
1556819776,15,15
1556821697,5,5
1556823660,12,4
1556825561,11,5
