DateTime,AddedIPs,RemovedIPs
1557078723,43,0
1557079322,47,0
1557080522,53,84
1557081123,47,38
1557081722,63,39
1557082922,42,0
1557084122,50,91
1557084724,41,0
1557085322,45,0
1557085922,49,44
1557086524,35,40
1557087124,41,0
1557087723,44,52
1557088922,31,53
1557090122,40,44
1557090723,40,0
1557091323,45,46
1557092523,44,152
1557093723,49,0
1557094923,43,88
1557096123,42,32
1557096722,47,92
1557097323,34,39
1557097923,44,76
1557098522,40,0
1557099722,48,83
1557100323,51,0
1557100924,40,43
1557102123,38,75
1557103322,44,0
1557103923,44,40
1557104522,44,56
1557105124,38,34
1557105722,51,0
1557106323,40,47
1557106922,41,86
1557108123,39,0
1557108722,49,85
1557109324,36,47
1557109923,31,0
1557110523,40,0
1557111123,74,55
1557111725,39,0
1557112323,46,40
1557112923,35,0
1557113523,42,73
1557114122,36,0
1557114722,45,45
1557115323,41,92
1557116522,40,0
1557117122,40,35
1557117723,49,54
1557118323,40,0
1557118923,39,46
1557119523,51,35
1557120123,41,43
1557120723,46,0
1557121323,43,0
1557122522,39,112
1557123724,37,50
1557124322,45,78
1557124922,47,0
1557126123,53,48
1557127323,33,52
1557127922,49,44
1557128523,45,86
1557129123,75,0
1557129723,57,0
1557130922,43,89
1557131523,45,0
1557132122,52,52
1557133322,49,91
1557133923,39,0
1557134522,28,0
1557135722,34,45
1557136923,37,47
1557138122,38,114
1557138722,50,0
1557139322,40,42
1557140523,45,0
1557141723,45,89
1557142923,45,47
1557143522,45,0
1557144123,40,0
1557144723,28,38
1557145323,40,45
1557146523,32,32
1557147723,47,83
1557148322,47,0
1557148922,36,0
1557150123,40,121
1557151322,61,35
1557151923,39,0
1557152523,45,44
1557153722,35,42
1557154323,73,39
1557154923,37,0
1557156123,74,39
1557156723,74,40
1557157322,50,89
1557158522,48,33
1557159722,71,31
1557160322,75,82
1557160922,50,0
1557162124,35,81
1557162722,41,0
1557163322,43,44
1557164522,53,43
1557165124,49,41
1557165722,56,0
1557166322,47,34
1557166922,48,0
1557167523,64,50
1557168123,32,47
1557168722,35,56
1557169323,42,38
1557170523,39,0
1557171722,46,75
1557172922,51,74
1557173522,44,45
1557174122,50,39
1557175322,44,75
1557175922,32,0
1557176523,41,0
1557177122,47,49
1557177722,47,83
1557178323,51,0
1557178924,33,0
1557179523,50,38
1557180123,37,43
1557181323,38,0
1557181923,33,33
1557182522,33,41
1557183123,42,0
1557183723,36,39
1557184923,42,116
1557185522,43,0
1557186123,48,54
1557186722,32,34
1557187323,33,37
1557187922,49,0
1557188523,29,43
1557189723,44,54
1557190322,50,48
1557190923,36,0
1557192122,47,132
1557192723,50,41
1557193923,52,43
1557194523,36,0
1557195123,33,35
1557195723,48,90
1557196322,46,44
1557196923,45,51
1557198123,43,73
1557198724,45,43
1557199323,48,93
1557199922,35,0
1557200524,39,80
1557201123,36,37
1557201722,39,0
1557202323,53,47
1557202922,41,40
1557204123,51,38
1557204723,38,94
1557205323,45,42
1557205922,40,40
1557206524,53,0
1557207723,38,125
1557208322,45,0
1557208923,47,38
1557209523,44,0
1557210122,40,42
1557211322,53,44
1557212523,45,52
1557213123,44,42
1557213723,46,0
1557214322,35,43
1557214922,39,43
1557215522,39,105
1557216123,40,0
1557216723,45,74
1557217322,43,31
1557217923,40,47
1557218522,36,0
1557219723,33,82
1557220324,40,0
1557220922,49,73
1557222123,48,33
1557223322,46,0
1557224522,30,39
1557225722,42,111
1557226323,40,0
1557226923,45,53
1557228123,44,0
1557228723,44,37
1557229323,34,0
1557229923,34,43
1557230524,39,37
1557231722,37,104
1557232323,50,0
1557232923,44,0
1557233523,49,40
1557234122,49,36
1557234723,51,40
1557235323,30,42
1557235923,36,0
1557236523,37,0
1557237122,34,43
1557237723,41,0
1557238922,41,84
1557240123,33,33
1557241325,68,101
1557241922,73,40
1557242523,41,64
1557243723,72,69
1557244923,72,87
1557246123,39,0
1557247323,40,185
1557248523,37,49
1557249723,33,91
1557250923,37,0
1557252122,38,131
1557253322,35,47
1557253923,48,37
1557254523,38,103
1557255723,43,82
1557256922,61,47
1557257523,46,0
1557258122,42,0
1557259323,43,77
1557259922,35,36
1557260522,40,0
1557261723,47,87
1557262323,47,42
1557262922,46,43
1557264123,40,89
1557264723,42,46
1557265322,49,0
1557265922,42,90
1557266523,40,51
1557267722,38,0
1557268922,43,85
1557269522,44,87
1557270122,43,47
1557271323,35,0
1557272523,40,88
1557273123,74,46
1557273725,41,47
1557274923,46,97
1557275522,37,35
1557276123,43,0
1557276722,44,50
1557277323,44,95
1557277923,45,0
1557278522,47,0
1557279122,43,37
1557279722,44,36
1557280323,42,0
1557280923,54,41
1557282124,40,81
1557283323,37,122
1557283923,43,0
1557284522,37,40
1557285124,43,0
1557285723,45,37
1557286922,48,91
1557287523,43,50
1557288123,53,100
1557288723,38,0
1557289322,36,87
1557289923,39,0
1557290523,41,0
1557291123,33,49
1557291723,48,47
1557292923,36,135
1557294123,54,41
1557294723,38,0
1557295323,47,34
1557295923,44,44
1557296524,33,41
1557297723,39,96
1557298922,43,53
1557300122,31,78
1557301322,46,50
1557302523,45,124
1557303723,50,44
1557304923,31,139
1557305522,45,0
1557306124,37,51
1557307323,39,90
1557307922,38,0
1557308523,36,0
1557309724,43,85
1557310324,45,0
1557310923,46,38
1557312123,37,0
1557312722,56,44
1557313322,43,30
1557314523,47,78
1557315723,40,40
1557316926,34,89
1557317523,44,31
1557318123,33,0
1557318722,49,41
1557319324,39,82
1557320522,31,71
1557321123,45,47
1557321722,37,0
1557322922,57,116
1557323522,34,0
